series_code,price_date,value
SALMON_NOK_KG,2024-08-01,86.950439
SALMON_NOK_KG,2024-08-02,87.221778
SALMON_NOK_KG,2024-08-03,86.511142
SALMON_NOK_KG,2024-08-04,86.375959
SALMON_NOK_KG,2024-08-05,86.065331
SALMON_NOK_KG,2024-08-06,87.553575
SALMON_NOK_KG,2024-08-07,86.815399
SALMON_NOK_KG,2024-08-08,87.365931
SALMON_NOK_KG,2024-08-09,87.576610
SALMON_NOK_KG,2024-08-10,87.015274
SALMON_NOK_KG,2024-08-11,84.868161
SALMON_NOK_KG,2024-08-12,83.855290
SALMON_NOK_KG,2024-08-13,84.877853
SALMON_NOK_KG,2024-08-14,84.860159
SALMON_NOK_KG,2024-08-15,86.042941
SALMON_NOK_KG,2024-08-16,83.949161
SALMON_NOK_KG,2024-08-17,85.247486
SALMON_NOK_KG,2024-08-18,87.470470
SALMON_NOK_KG,2024-08-19,88.424375
SALMON_NOK_KG,2024-08-20,89.209043
SALMON_NOK_KG,2024-08-21,87.794676
SALMON_NOK_KG,2024-08-22,87.128027
SALMON_NOK_KG,2024-08-23,87.251513
SALMON_NOK_KG,2024-08-24,85.906278
SALMON_NOK_KG,2024-08-25,84.685338
SALMON_NOK_KG,2024-08-26,86.569367
SALMON_NOK_KG,2024-08-27,85.986055
SALMON_NOK_KG,2024-08-28,85.424321
SALMON_NOK_KG,2024-08-29,85.242655
SALMON_NOK_KG,2024-08-30,85.207419
SALMON_NOK_KG,2024-08-31,84.682394
SALMON_NOK_KG,2024-09-01,85.602666
SALMON_NOK_KG,2024-09-02,85.450689
SALMON_NOK_KG,2024-09-03,86.704605
SALMON_NOK_KG,2024-09-04,87.841188
SALMON_NOK_KG,2024-09-05,87.342739
SALMON_NOK_KG,2024-09-06,88.969004
SALMON_NOK_KG,2024-09-07,88.204715
SALMON_NOK_KG,2024-09-08,86.524329
SALMON_NOK_KG,2024-09-09,86.323230
SALMON_NOK_KG,2024-09-10,85.631520
SALMON_NOK_KG,2024-09-11,85.533762
SALMON_NOK_KG,2024-09-12,85.046835
SALMON_NOK_KG,2024-09-13,87.087433
SALMON_NOK_KG,2024-09-14,88.110380
SALMON_NOK_KG,2024-09-15,89.816966
SALMON_NOK_KG,2024-09-16,88.571750
SALMON_NOK_KG,2024-09-17,88.384222
SALMON_NOK_KG,2024-09-18,87.369997
SALMON_NOK_KG,2024-09-19,88.129025
SALMON_NOK_KG,2024-09-20,87.680819
SALMON_NOK_KG,2024-09-21,89.030878
SALMON_NOK_KG,2024-09-22,88.923831
SALMON_NOK_KG,2024-09-23,87.379962
SALMON_NOK_KG,2024-09-24,86.748705
SALMON_NOK_KG,2024-09-25,86.129339
SALMON_NOK_KG,2024-09-26,85.665546
SALMON_NOK_KG,2024-09-27,84.670618
SALMON_NOK_KG,2024-09-28,83.615484
SALMON_NOK_KG,2024-09-29,83.734999
SALMON_NOK_KG,2024-09-30,83.605574
SALMON_NOK_KG,2024-10-01,82.844458
